"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 12 17:41:13 UTC 2026","Thu Mar 12 17:41:23 UTC 2026","10486","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldAllowValidAge","SC08 - Valid age should be accepted",""
"passed","Thu Mar 12 17:41:12 UTC 2026","Thu Mar 12 17:41:23 UTC 2026","10504","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldCreateAndGetPlayer","SC02 - Supervisor creates valid user",""
"passed","Thu Mar 12 17:41:44 UTC 2026","Thu Mar 12 17:41:44 UTC 2026","230","Player API Tests","Player Tests","com.player.tests.DeletePlayerTest","com.player.tests.DeletePlayerTest","shouldReturn403ForInvalidPlayerId","DEL06 - Should return 403 for invalid player id",""
"passed","Thu Mar 12 17:41:36 UTC 2026","Thu Mar 12 17:41:36 UTC 2026","232","Player API Tests","Player Tests","com.player.tests.GetAllPlayersTest","com.player.tests.GetAllPlayersTest","shouldReturnAllPlayers","GETALL-01 - Should return all players with non-empty list",""
"passed","Thu Mar 12 17:41:44 UTC 2026","Thu Mar 12 17:41:44 UTC 2026","239","Player API Tests","Player Tests","com.player.tests.DeletePlayerTest","com.player.tests.DeletePlayerTest","shouldReturn403ForInvalidPlayerId","DEL06 - Should return 403 for invalid player id",""
"passed","Thu Mar 12 17:41:31 UTC 2026","Thu Mar 12 17:41:31 UTC 2026","468","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidRole","SC12 - Invalid role should be rejected",""
"passed","Thu Mar 12 17:41:31 UTC 2026","Thu Mar 12 17:41:31 UTC 2026","461","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidRole","SC12 - Invalid role should be rejected",""
"failed","Thu Mar 12 17:41:27 UTC 2026","Thu Mar 12 17:41:27 UTC 2026","466","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidPassword","SC10 - Invalid password should be rejected",""
"passed","Thu Mar 12 17:41:28 UTC 2026","Thu Mar 12 17:41:29 UTC 2026","463","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidRole","SC12 - Invalid role should be rejected",""
"passed","Thu Mar 12 17:41:39 UTC 2026","Thu Mar 12 17:41:39 UTC 2026","681","Player API Tests","Player Tests","com.player.tests.UpdatePlayerTest","com.player.tests.UpdatePlayerTest","shouldUpdatePassword","UPD03 - Should update player password",""
"passed","Thu Mar 12 17:41:43 UTC 2026","Thu Mar 12 17:41:44 UTC 2026","238","Player API Tests","Player Tests","com.player.tests.DeletePlayerTest","com.player.tests.DeletePlayerTest","shouldReturn403ForInvalidPlayerId","DEL06 - Should return 403 for invalid player id",""
"failed","Thu Mar 12 17:41:25 UTC 2026","Thu Mar 12 17:41:25 UTC 2026","470","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidGender","SC11 - Invalid gender should be rejected",""
